Gene	Alteration	Origin	Entities	Comments
ATIC	Translocation; ; ; ; ; 	Somatic; 	[ALCL]; []	fusion
ATM	Deletion; Missense; Nonsense; Frameshift; Splice site; 	Somatic; Germline	[T-PLL]; [leukaemia, lymphoma, medulloblastoma, glioma]	TSG
ATP1A1	Missense; Other; ; ; ; 	Somatic; 	[adrenal aldosterone producing adenoma]; []	oncogene, TSG
ATP2B3	Other; ; ; ; ; 	Somatic; 	[adrenal aldosterone producing adenoma]; []	TSG
ATR	Frameshift; Missense; ; ; ; 	Somatic; Germline	[endometrial, gastric, epithelial ovarian, myeloma]; [oropharyngeal]	TSG
ATRX	Missense; Frameshift; Nonsense; ; ; 	Somatic; 	[pancreatic neuroendocrine tumours, paediatric GBM]; []	TSG
AXIN1	Deletion; Missense; Nonsense; Frameshift; Splice site; 	Somatic; 	[colorectal, endometrial, prostate, hepatocellular carcinoma, hepatoblastoma, sporadic medulloblastoma]; []	TSG
AXIN2	Missense; Frameshift; Nonsense; ; ; 	Somatic; Germline	[colorectal carcinoma, stomach carcinoma, hepatocellular carcinoma]; [colorectal carcinoma]	TSG
B2M	Missense; Nonsense; Frameshift; ; ; 	Somatic; 	[DLBCL, melanoma, colorectal adenocarcinoma]; []	TSG
BAP1	Nonsense; Missense; Frameshift; Splice site; Other; 	Somatic; Germline	[uveal melanoma, breast, NSCLC, RCC]; [mesothelioma, skin and uveal melanoma, kidney cancer]	TSG
BARD1	Missense; ; ; ; ; 	Somatic; Germline	[breast cancer]; [ovarian cancer, breast cancer, endometrioid cancer]	TSG
BAX	Frameshift; Missense; ; ; ; 	Somatic; 	[colorectal cancer]; []	TSG
BAZ1A	Deletion; ; ; ; ; 	Somatic; 	[uterine carcinosarcoma, colon cancer]; []	TSG
BCL10	Translocation; ; ; ; ; 	Somatic; 	[MALT]; []	TSG, fusion
BCL11A	Translocation; ; ; ; ; 	Somatic; 	[B-CLL]; []	oncogene, fusion
BCL11B	Translocation; ; ; ; ; 	Somatic; 	[T-ALL]; []	oncogene, TSG, fusion
BCL2	Translocation; ; ; ; ; 	Somatic; 	[NHL, CLL]; []	oncogene, fusion
BCL2L12	Missense; ; ; ; ; 	Somatic; 	[melanoma, SCC]; []	oncogene
BCL3	Translocation; ; ; ; ; 	Somatic; 	[CLL]; []	oncogene, fusion
BCL6	Translocation; Missense; ; ; ; 	Somatic; 	[NHL, CLL]; []	oncogene, fusion
BCL7A	Translocation; ; ; ; ; 	Somatic; 	[BNHL]; []	fusion
BCL9	Translocation; ; ; ; ; 	Somatic; 	[B-ALL]; []	oncogene, fusion
BCL9L	Missense; Frameshift; ; ; ; 	Somatic; 	[colorectal cancer, endometrial carcinoma, gastric cancer]; []	oncogene, TSG
BCLAF1	Missense; ; ; ; ; 	Somatic; 	[melanoma, SCC]; []	
BCOR	Frameshift; Nonsense; Splice site; Translocation; ; 	Somatic; 	[retinoblastoma, AML, APL (translocation)]; []	TSG, fusion
BCORL1	Missense; Nonsense; Frameshift; ; ; 	Somatic; 	[AML, HNSCC]; []	oncogene, TSG
BCR	Translocation; ; ; ; ; 	Somatic; 	[CML, ALL, AML]; []	fusion
BIRC3	Deletion; Frameshift; Nonsense; Translocation; Missense; 	Somatic; 	[CLL, MALT, MCL, MM]; []	oncogene, TSG, fusion
BIRC6	Translocation; Missense; ; ; ; 	Somatic; 	[melanoma, gastric adenocarcinoma, lung adenocarcinoma]; []	oncogene, fusion
BLM	Missense; Nonsense; Frameshift; ; ; 	; Germline	[]; [leukaemia, lymphoma, skin squamous cell, other tumour types]	TSG
BMP5	Missense; ; ; ; ; 	Somatic; 	[melanoma]; []	
BMPR1A	Missense; Nonsense; Frameshift; ; ; 	; Germline	[]; [gastrointestinal polyps]	oncogene, TSG
BRAF	Missense; Translocation; Other; ; ; 	Somatic; 	[melanoma, colorectal, papillary thyroid, borderline ovarian, NSCLC, cholangiocarcinoma, pilocytic astrocytoma, Spitzoid tumour, pancreas acinar carcinoma, melanocytic nevus, prostate, gastric]; []	oncogene, fusion
BRCA1	Deletion; Missense; Nonsense; Frameshift; Splice site; 	Somatic; Germline	[ovarian]; [breast, ovarian]	TSG
BRCA2	Deletion; Missense; Nonsense; Frameshift; Splice site; 	Somatic; Germline	[breast, ovarian, pancreatic]; [breast, ovarian, pancreatic, leukaemia  (FANCB, FANCD1)]	TSG
BRD3	Translocation; ; ; ; ; 	Somatic; 	[lethal midline carcinoma of young people]; []	oncogene, fusion
BRD4	Translocation; ; ; ; ; 	Somatic; 	[lethal midline carcinoma of young people]; []	oncogene, fusion
BRIP1	Frameshift; Nonsense; Missense; ; ; 	; Germline	[]; [AML, leukaemia, breast]	TSG
BTG1	Translocation; ; ; ; ; 	Somatic; 	[B-CLL]; []	TSG, fusion
BTG2	Missense; ; ; ; ; 	Somatic; 	[DLBCL]; []	TSG
BTK	Missense; ; ; ; ; 	Somatic; 	[CLL, mantle cell lymphoma, WM]; []	oncogene, TSG
BUB1B	Missense; Nonsense; Frameshift; Splice site; ; 	; Germline	[]; [rhabdomyosarcoma]	TSG
C15orf65	Translocation; ; ; ; ; 	Somatic; 	[PMBL, Hodgkin lymphoma]; []	fusion
CACNA1D	Missense; ; ; ; ; 	Somatic; 	[adrenal aldosterone producing adenoma]; []	oncogene
CALR	Frameshift; Missense; ; ; ; 	Somatic; 	[MPN, MDS]; []	oncogene
CAMTA1	Translocation; ; ; ; ; 	Somatic; 	[epithelioid haemangioendothelioma]; []	TSG, fusion
CANT1	Translocation; ; ; ; ; 	Somatic; 	[prostate]; []	fusion
CARD11	Missense; ; ; ; ; 	Somatic; 	[DLBCL]; []	oncogene
CARS	Translocation; ; ; ; ; 	Somatic; 	[ALCL]; []	TSG, fusion
CASP3	Deletion; ; ; ; ; 	Somatic; 	[ovarian cancer]; []	TSG
CASP8	Nonsense; Splice site; Frameshift; ; ; 	Somatic; 	[hepatocellular, oral squamous cell, breast]; []	TSG
CASP9	Deletion; ; ; ; ; 	Somatic; 	[glioma]; []	TSG
CBFA2T3	Translocation; ; ; ; ; 	Somatic; 	[AML]; []	TSG, fusion
CBFB	Translocation; ; ; ; ; 	Somatic; 	[AML]; []	TSG, fusion
CBL	Translocation; Missense; Splice site; Other; ; 	Somatic; 	[AML, JMML, MDS]; []	oncogene, TSG, fusion
CBLB	Missense; Splice site; ; ; ; 	Somatic; 	[AML]; []	TSG
CBLC	Missense; ; ; ; ; 	Somatic; 	[AML]; []	oncogene, TSG
CCDC6	Translocation; ; ; ; ; 	Somatic; 	[papillary thyroid, CML, NSCLC]; []	TSG, fusion
CCNB1IP1	Translocation; ; ; ; ; 	Somatic; 	[leiomyoma]; []	TSG, fusion
CCNC	Deletion; ; ; ; ; 	Somatic; 	[T-ALL]; []	TSG
CCND1	Translocation; ; ; ; ; 	Somatic; 	[CLL, B-ALL, breast]; []	oncogene, fusion
CCND2	Translocation; ; ; ; ; 	Somatic; 	[NHL,CLL]; []	oncogene, fusion
CCND3	Translocation; ; ; ; ; 	Somatic; 	[MM]; []	oncogene, fusion
CCNE1	Amplication; ; ; ; ; 	Somatic; 	[serous ovarian]; []	oncogene
CCR4	Nonsense; ; ; ; ; 	Somatic; 	[adult T-cell leukaemia/lymphoma]; []	oncogene
CCR7	Nonsense; ; ; ; ; 	Somatic; 	[adult T-cell leukaemia/lymphoma]; []	oncogene
CD209	Missense; ; ; ; ; 	Somatic; 	[prostate carcinoma]; []	
CD274	Translocation; ; ; ; ; 	Somatic; 	[PMBL, Hodgkin lymphoma]; []	TSG, fusion
CD28	Missense; ; ; ; ; 	Somatic; 	[T-cell lymphoma]; []	oncogene
CD74	Translocation; ; ; ; ; 	Somatic; 	[NSCLC]; []	oncogene, fusion
CD79A	Splice site; ; ; ; ; 	Somatic; 	[DLBCL, WM]; []	oncogene
CD79B	Missense; Splice site; ; ; ; 	Somatic; 	[DLBCL, WM]; []	oncogene
CDC73	Missense; Nonsense; Frameshift; ; ; 	Somatic; Germline	[parathyroid adenoma]; [parathyroid adenoma, multiple ossifying jaw fibroma]	TSG
CDH1	Missense; Nonsense; Frameshift; Splice site; ; 	Somatic; Germline	[lobular breast, gastric]; [gastric]	TSG
CDH10	Missense; Frameshift; Nonsense; ; ; 	Somatic; Germline	[melanoma]; [pancreatic ductal adenocarcinoma]	TSG
CDH11	Translocation; ; ; ; ; 	Somatic; 	[aneurysmal bone cyst]; []	TSG, fusion
CDH17	Missense; ; ; ; ; 	Somatic; 	[melanoma]; []	oncogene
CDK12	Missense; Nonsense; Frameshift; ; ; 	Somatic; 	[serous ovarian]; []	TSG
CDK4	Missense; ; ; ; ; 	; Germline	[]; [melanoma]	oncogene
CDK6	Translocation; ; ; ; ; 	Somatic; 	[ALL]; []	oncogene, fusion
CDKN1A	Frameshift; Nonsense; ; ; ; 	Somatic; 	[bladder cancer]; []	oncogene, TSG
CDKN1B	Frameshift; ; ; ; ; 	Somatic; Germline	[breast, small intestine neuroendocrine tumours]; [pituitary, parathyroid]	TSG
CDKN2A	Deletion; Missense; Nonsense; Frameshift; Splice site; 	Somatic; Germline	[melanoma, multiple other tumour types]; [melanoma, pancreatic]	TSG
CDKN2C	Deletion; ; ; ; ; 	Somatic; 	[glioma, MM]; []	TSG
CDX2	Translocation; ; ; ; ; 	Somatic; 	[AML]; []	TSG, fusion
CEBPA	Missense; Nonsense; Frameshift; ; ; 	Somatic; 	[AML, MDS]; []	TSG
CEP89	Translocation; ; ; ; ; 	Somatic; 	[Spitzoid tumour]; []	fusion
CHCHD7	Translocation; ; ; ; ; 	Somatic; 	[salivary adenoma]; []	fusion
CHD2	Missense; Frameshift; Nonsense; ; ; 	Somatic; 	[melanoma, large intestine, CLL, monoclonal B lymphocytosis]; []	TSG
CHD4	Missense; Frameshift; Nonsense; ; ; 	Somatic; 	[uterine serous carcinoma]; []	oncogene
CHEK2	Frameshift; ; ; ; ; 	; Germline	[]; [breast]	TSG
CHIC2	Translocation; ; ; ; ; 	Somatic; 	[AML]; []	fusion
CHST11	Translocation; ; ; ; ; 	Somatic; 	[B-CLL]; []	oncogene, fusion
CIC	Missense; Frameshift; Splice site; Translocation; ; 	Somatic; 	[oligodendroglioma, soft tissue sarcoma]; []	oncogene, TSG, fusion
CIITA	Translocation; ; ; ; ; 	Somatic; 	[PMBL, Hodgkin lymphoma]; []	TSG, fusion
CLIP1	Translocation; ; ; ; ; 	Somatic; 	[Spitzoid tumour]; []	fusion
CLP1	Translocation; ; ; ; ; 	Somatic; 	[AML]; []	fusion
CLTC	Translocation; ; ; ; ; 	Somatic; 	[ALCL, renal]; []	TSG, fusion
CLTCL1	Translocation; ; ; ; ; 	Somatic; 	[ALCL]; []	TSG, fusion
CNBD1	Missense; ; ; ; ; 	Somatic; 	[gastric cancer, colon cancer]; []	
CNBP	Translocation; ; ; ; ; 	Somatic; 	[aneurysmal bone cyst]; []	TSG, fusion
CNOT3	Missense; Nonsense; Frameshift; ; ; 	Somatic; 	[T-ALL]; []	TSG
CNTNAP2	Missense; ; ; ; ; 	Somatic; 	[glioma, melanoma]; []	TSG
CNTRL	Translocation; ; ; ; ; 	Somatic; 	[MPN, NHL]; []	fusion
COL1A1	Translocation; ; ; ; ; 	Somatic; 	[DFSP, aneurysmal bone cyst]; []	fusion
COL2A1	Frameshift; Missense; Nonsense; Translocation; ; 	Somatic; 	[chondrosarcoma, enchondroma]; []	fusion
COL3A1	Translocation; ; ; ; ; 	Somatic; 	[lipoblastoma]; []	fusion
COX6C	Translocation; ; ; ; ; 	Somatic; 	[uterine leiomyoma]; []	fusion
CPEB3	Deletion; ; ; ; ; 	Somatic; 	[lung cancer]; []	TSG
CREB1	Translocation; ; ; ; ; 	Somatic; 	[clear cell sarcoma, angiomatoid fibrous histiocytoma]; []	oncogene, fusion
CREB3L1	Translocation; ; ; ; ; 	Somatic; 	[myxofibrosarcoma]; []	TSG, fusion
CREB3L2	Translocation; ; ; ; ; 	Somatic; 	[fibromyxoid sarcoma]; []	oncogene, fusion
CREBBP	Translocation; Nonsense; Frameshift; Missense; Other; 	Somatic; 	[ALL, AML, DLBCL, B-NHL]; []	oncogene, TSG, fusion
CRLF2	Missense; Translocation; ; ; ; 	Somatic; 	[B-ALL, Downs associated ALL]; []	oncogene, fusion
CRNKL1	Missense; ; ; ; ; 	Somatic; 	[base cell carcinoma]; []	
CRTC1	Translocation; ; ; ; ; 	Somatic; 	[salivary gland mucoepidermoid]; []	oncogene, fusion
CRTC3	Translocation; ; ; ; ; 	Somatic; 	[salivary gland mucoepidermoid]; []	fusion
CSF1R	Missense; Nonsense; ; ; ; 	Somatic; 	[MDS, CML, AML, hemangioblastoma, CCRCC]; []	oncogene
CSF3R	Missense; Nonsense; ; ; ; 	Somatic; 	[aCML, CNL,  leukaemia lymphoma and MDS associated with severe congenital neutropenia, CMML, de novo AML, MDS]; []	oncogene
CSMD3	Missense; Nonsense; ; ; ; 	Somatic; 	[ovarian cancer, oral SCC, lung cancer]; []	TSG
CTCF	Missense; Nonsense; ; ; ; 	Somatic; 	[endometrial, breast, head and neck cancer]; []	TSG
CTNNA1	Deletion; Missense; Nonsense; Translocation; ; 	Somatic; Germline	[AML, MDS, cutaneous melanoma]; [gastric cancer]	TSG, fusion
CTNNA2	Missense; Splice site; ; ; ; 	Somatic; 	[gastric cancer]; []	oncogene
CTNNB1	Missense; Other; Translocation; ; ; 	Somatic; 	[colorectal, ovarian,  hepatoblastoma, pleomorphic salivary gland adenoma, other tumour types]; []	oncogene, fusion
CTNND1	Nonsense; ; ; ; ; 	Somatic; 	[large intestine carcinoma]; []	
CTNND2	Missense; ; ; ; ; 	Somatic; 	[prostae adenocarcinoma, GIST]; []	oncogene
CUL3	Nonsense; ; ; ; ; 	Somatic; 	[lung cancer]; []	TSG
CUX1	Nonsense; Frameshift; Splice site; Missense; Other; Translocation	Somatic; 	[endometrial, melanoma, colorectal, AML, MDS, other tumour types]; []	oncogene, TSG
CXCR4	Missense; Nonsense; Frameshift; ; ; 	Somatic; Germline	[WM]; []	oncogene
CYLD	Missense; Nonsense; Frameshift; Splice site; ; 	Somatic; Germline	[cylindroma]; [cylindroma]	TSG
CYP2C8	Missense; ; ; ; ; 	Somatic; 	[melanoma]; []	
CYSLTR2	Missense; ; ; ; ; 	Somatic; 	[uveal melanoma]; []	oncogene
DAXX	Missense; Frameshift; Nonsense; ; ; 	Somatic; 	[pancreatic neuroendocrine tumour, paediatric glioblastoma]; []	oncogene, TSG
DCAF12L2	Missense; ; ; ; ; 	Somatic; 	[CRC]; []	
DCC	Missense; Nonsense; Deletion; ; ; 	Somatic; 	[CRC, melanoma, SCC]; []	
DCTN1	Translocation; ; ; ; ; 	Somatic; 	[inflammatory myofibroblastic tumour, Spitzoid tumour]; []	fusion
DDB2	Missense; Nonsense; ; ; ; 	; Germline	[]; [skin basal cell, skin squamous cell, melanoma]	oncogene, TSG
DDIT3	Translocation; ; ; ; ; 	Somatic; 	[liposarcoma]; []	oncogene, fusion
DDR2	Missense; Nonsense; ; ; ; 	Somatic; 	[squamous cell carcinoma, NSCLC]; []	oncogene
DDX10	Translocation; ; ; ; ; 	Somatic; 	[AML*]; []	TSG, fusion
DDX3X	Missense; Nonsense; Frameshift; ; ; 	Somatic; 	[CLL, medulloblastoma]; []	TSG
DDX5	Translocation; ; ; ; ; 	Somatic; 	[prostate]; []	oncogene, fusion
DDX6	Translocation; ; ; ; ; 	Somatic; 	[B-NHL]; []	oncogene, fusion
DEK	Translocation; ; ; ; ; 	Somatic; 	[AML]; []	oncogene, fusion
DGCR8	Missense; ; ; ; ; 	Somatic; 	[Wilms tumour]; []	oncogene
DICER1	Missense; Frameshift; Nonsense; ; ; 	Somatic; Germline	[sex cord-stromal tumour, TGCT, embryonal rhabdomyosarcoma, pleuropulmonary blastoma, pituitary blastoma, Wilms tumour, thyroid cancer, other tumour types]; [pleuropulmonary blastoma]	TSG
DNAJB1	Translocation; ; ; ; ; 	Somatic; 	[fibrolamellar hepatocellular carcinoma]; []	fusion
DNM2	Frameshift; Nonsense; Splice site; Missense; Other; 	Somatic; 	[T-ALL]; []	TSG
DNMT3A	Missense; Frameshift; Nonsense; Splice site; ; 	Somatic; 	[AML]; []	TSG
DROSHA	Amplication; Missense; Nonsense; Frameshift; ; 	Somatic; 	[Wilms tumour, NSCLC, bladder carcinoma]; []	TSG
DUX4L1	Translocation; ; ; ; ; 	Somatic; 	[soft tissue sarcoma]; []	fusion
EBF1	Translocation; ; ; ; ; 	Somatic; 	[lipoma]; []	TSG, fusion
ECT2L	Nonsense; Splice site; Missense; ; ; 	Somatic; 	[ETP ALL]; []	
EED	Missense; Frameshift; ; ; ; 	Somatic; 	[malignant peripheral nerve sheath tumours, MDS and related, lung adenocarcinoma]; []	TSG
EGFR	Amplication; Other; Missense; ; ; 	Somatic; Germline	[glioma, NSCLC]; [NSCLC]	oncogene
EIF1AX	Missense; Splice site; ; ; ; 	Somatic; 	[uveal melanoma, thyroid cancer (PDTC and ATC), low grade serous ovarian cancer]; []	
EIF3E	Translocation; ; ; ; ; 	Somatic; 	[colorectal]; []	TSG, fusion
EIF4A2	Translocation; ; ; ; ; 	Somatic; 	[NHL]; []	fusion
ELF3	Missense; Nonsense; Frameshift; ; ; 	Somatic; 	[pancreatic cancer]; []	TSG
ELF4	Translocation; ; ; ; ; 	Somatic; 	[AML]; []	oncogene, TSG, fusion
ELK4	Translocation; ; ; ; ; 	Somatic; 	[prostate]; []	oncogene, fusion
ELL	Translocation; ; ; ; ; 	Somatic; 	[AL]; []	TSG, fusion
ELN	Translocation; ; ; ; ; 	Somatic; 	[B-ALL]; []	fusion
EML4	Translocation; ; ; ; ; 	Somatic; 	[NSCLC]; []	fusion
EP300	Translocation; Nonsense; Frameshift; Missense; Other; 	Somatic; 	[colorectal, breast, pancreatic, AML, ALL, DLBCL]; []	TSG, fusion
EPAS1	Missense; ; ; ; ; 	Somatic; 	[paraganglioma, pheochromocytoma, central nervous system hemangioblastomas]; []	oncogene, TSG
EPHA3	Missense; ; ; ; ; 	Somatic; 	[lung cancer, CRC, melanoma]; []	
EPHA7	Missense; ; ; ; ; 	Somatic; 	[CRC, melanoma]; []	
EPS15	Translocation; ; ; ; ; 	Somatic; 	[ALL]; []	TSG, fusion
ERBB2	Amplication; Missense; Other; ; ; 	Somatic; 	[breast, ovarian, other tumour types, NSCLC, gastric]; []	oncogene, fusion
ERBB3	Missense; Nonsense; ; ; ; 	Somatic; 	[colon, gastric, head and neck, bladder, skin]; []	oncogene
ERBB4	Missense; Nonsense; ; ; ; 	Somatic; Germline	[melanoma, gastric, NSCLC]; []	oncogene, TSG
ERC1	Translocation; ; ; ; ; 	Somatic; 	[papillary thyroid, Spitzoid tumour]; []	fusion
ERCC2	Missense; Nonsense; Frameshift; Splice site; ; 	; Germline	[]; [skin basal cell, skin squamous cell, melanoma]	TSG
ERCC3	Missense; Splice site; ; ; ; 	; Germline	[]; [skin basal cell, skin squamous cell, melanoma]	TSG
ERCC4	Missense; Nonsense; Frameshift; ; ; 	; Germline	[]; [skin basal cell, skin squamous cell, melanoma]	TSG
ERCC5	Missense; Nonsense; Frameshift; ; ; 	; Germline	[]; [skin basal cell, skin squamous cell, melanoma]	TSG
ERG	Translocation; Amplification; ; ; ; 	Somatic; 	[Ewing sarcoma, prostate, AML]; []	oncogene, fusion
ESR1	Missense; ; ; ; ; 	Somatic; 	[breast]; []	oncogene, TSG, fusion
ETNK1	Missense; ; ; ; ; 	Somatic; 	[aCML, CMML, SM-AHD, HES]; []	TSG
ETV1	Translocation; ; ; ; ; 	Somatic; 	[Ewing sarcoma, prostate]; []	oncogene, fusion
ETV4	Translocation; ; ; ; ; 	Somatic; 	[Ewing sarcoma, prostate carcinoma]; []	oncogene, fusion
ETV5	Translocation; ; ; ; ; 	Somatic; 	[prostate]; []	oncogene, fusion
ETV6	Translocation; ; ; ; ; 	Somatic; 	[congenital fibrosarcoma, multiple different leukaemia and lymphoma tumour types including ALL, secretory breast, MDS]; []	TSG, fusion
EWSR1	Translocation; ; ; ; ; 	Somatic; 	[Ewing sarcoma, desmoplastic small round cell tumour , ALL, clear cell sarcoma, sarcoma, myoepithelioma, mesothelioma]; []	oncogene, fusion
EXT1	Missense; Nonsense; Frameshift; Splice site; ; 	; Germline	[]; [exostoses, osteosarcoma]	TSG, fusion
EXT2	Missense; Nonsense; Frameshift; Splice site; ; 	; Germline	[]; [exostoses, osteosarcoma]	TSG
EZH2	Missense; ; ; ; ; 	Somatic; 	[DLBCL]; []	oncogene, TSG
EZR	Translocation; ; ; ; ; 	Somatic; 	[NSCLC]; []	fusion
FADD	Amplication; ; ; ; ; 	Somatic; Germline	[breast cancer, HNSCC]; [lymphoma]	
FAM131B	Translocation; ; ; ; ; 	Somatic; 	[pilocytic astrocytoma]; []	fusion
FAM135B	Missense; ; ; ; ; 	Somatic; 	[SCLC]; []	
FAM47C	Missense; ; ; ; ; 	Somatic; 	[melanoma, clear cell sarcoma of soft parts, SCLC]; []	
FANCA	Deletion; Missense; Nonsense; Frameshift; Splice site; 	; Germline	[]; [AML, leukaemia]	TSG
FANCC	Deletion; Missense; Nonsense; Frameshift; Splice site; 	; Germline	[]; [AML, leukaemia]	TSG
FANCD2	Deletion; Missense; Nonsense; Frameshift; ; 	; Germline	[]; [AML, leukaemia]	TSG
FANCE	Nonsense; Frameshift; Splice site; ; ; 	; Germline	[]; [AML, leukaemia]	TSG
FANCF	Nonsense; Frameshift; ; ; ; 	; Germline	[]; [AML, leukaemia]	TSG
FANCG	Missense; Nonsense; Frameshift; Splice site; ; 	; Germline	[]; [AML, leukaemia]	TSG
FAS	Missense; ; ; ; ; 	Somatic; 	[TGCT, nasal NK/T lymphoma, skin squamous cell carcinoma-burn scar related]; []	TSG
FAT1	Missense; Nonsense; Frameshift; Splice site; ; 	Somatic; Germline	[oral squamous cell, chemorefractory CLL, head and neck, pancreatic acinar cell carcinoma]; [pancreatic]	TSG
FAT3	Missense; ; ; ; ; 	Somatic; 	[SCC, colon adenocarcinoma, gastric adenocarcinoma]; []	
FAT4	Missense; Nonsense; ; ; ; 	Somatic; 	[lymphoma, pancreatic, head and neck, melanoma, hepatocellular carcinoma]; []	TSG
FBLN2	Missense; Splice site; ; ; ; 	Somatic; 	[breast cancer, colorectal adenocarcinoma]; []	TSG
FBXO11	Missense; Frameshift; Deletion; ; ; 	Somatic; 	[DLBCL]; []	TSG
FBXW7	Missense; Nonsense; Deletion; Frameshift; ; 	Somatic; 	[colorectal, endometrial, T-ALL]; []	TSG
FCGR2B	Translocation; ; ; ; ; 	Somatic; 	[ALL]; []	oncogene, fusion
FCRL4	Translocation; ; ; ; ; 	Somatic; 	[B-NHL]; []	oncogene, fusion
FEN1	; ; ; ; ; 	; Germline	[]; [breast cancer]	TSG
FES	Missense; Frameshift; ; ; ; 	Somatic; 	[HNSCC, ovarian carcinoma]; []	oncogene, TSG
FEV	Translocation; ; ; ; ; 	Somatic; 	[Ewing sarcoma]; []	oncogene, fusion
FGFR1	Translocation; ; ; ; ; 	Somatic; 	[MPN, NHL, salivary adenoma]; []	oncogene, fusion
FGFR1OP	Translocation; ; ; ; ; 	Somatic; 	[MPN, NHL]; []	fusion
FGFR2	Missense; ; ; ; ; 	Somatic; 	[gastric, NSCLC, endometrial]; []	oncogene, fusion
FGFR3	Missense; Translocation; ; ; ; 	Somatic; 	[bladder, MM, T-cell lymphoma]; []	oncogene, fusion
