Gene,Alteration,Origin,Entities,Comments,Reference,RefGene Group
FGFR1,SV,Somatic,GBM; DMG,"TACC1 fusion partner, not considered typical in GBM; [DMG: Gain-of-function mutation and genetic amplification of growth factor receptors involved in brain development are common in H3 p.K28M (K27M)-mutant subtypes, and they are found in PDGFRA (hindbrain, diencephalon, telencephalon), FGFR1 (diencephalon), and ACVR1 (hindbrain).]",WHO blue books,Neuro
FGFR3,GAIN; SV,Somatic,GBM,[SV: TACC3 fusion partner. FGFR3 ex17::TACC3 ex10],WHO blue books,Neuro
FUBP1,SNV,Somatic,Oligo,Subclonal (tumour progression),WHO blue books,Neuro
H3F3A,SNV,Somatic,GBM; DMG,Loss of H3 p.K28me3 (K27me3) recurrent in DMG,WHO blue books,Neuro
IDH1,SNV,Somatic; Germline,Astro; Oligo,R132 missense hotspot diagnostic for astrocytoma and oligodendroiglioma; Germline - Ollier disease in astrocytoma ,WHO blue books,Neuro
IDH2,SNV,Somatic; Germline,Astro; Oligo,R172 missense hotspot diagnostic for astrocytoma and oligodendroiglioma; Germline - Ollier disease in astrocytoma ,WHO blue books,Neuro
KIAA1549,SV,Somatic,Oligo,KIAA1549::BRAF fusion - rare case previously reported in oligodendroglioma,WHO blue books,Neuro
KLHL7,SV,Somatic,GBM,"KLHL7::BRAF, potentially relevant fusion in GBM",WHO blue books,Neuro
KMT2B,SNV,Somatic,GBM,Missense mutations rare in GBM,WHO blue books,Neuro
KMT2C,SNV,Somatic,GBM,Missense mutations rare in GBM,WHO blue books,Neuro
KMT2D,SNV,Somatic,GBM,Missense mutations rare in GBM,WHO blue books,Neuro
MDM2,GAIN,Somatic,GBM,,WHO blue books,Neuro
MDM4,GAIN,Somatic,GBM,,WHO blue books,Neuro
MET,GAIN; SV,Somatic,GBM; Astro,[GAIN: Associated with tumour progression in astrocytoma]; [SV: Fusions more common IDH-mutant astrocytoma (associated with tumour progression)],WHO blue books,Neuro
MLH1,SNV; LOSS,Somatic; Germline,GBM; Astro; Oligo,Germline - CMMRD,WHO blue books,Neuro
MSH2,SNV; LOSS,Somatic; Germline,GBM; Astro; Oligo,Germline - CMMRD,WHO blue books,Neuro
MSH6,SNV; LOSS,Somatic; Germline,GBM; Astro; Oligo,Germline - CMMRD,WHO blue books,Neuro
MYC,GAIN; SNV,Somatic,GBM; Astro; Oligo,[GAIN: Amplifications seen only in GBMs with primitive neuronal component]; [SNV: reported in oligodendroglioma],WHO blue books,Neuro
MYCN,GAIN,Somatic,GBM; Astro,Amplifications seen only in GBMs with primitive neuronal component; Associated with tumour progression in astrocytomas,WHO blue books,Neuro
NF1,SNV; LOSS,Somatic; Germline,GBM,Germline - Neurofibromatosis,WHO blue books,Neuro
NOTCH1,SNV,Somatic,Oligo,,WHO blue books,Neuro
NTRK1,SV,Somatic,GBM,,WHO blue books,Neuro
NTRK2,SV,Somatic,GBM,,WHO blue books,Neuro
NTRK3,SV,Somatic,GBM,,WHO blue books,Neuro
PDGFRA,GAIN,Somatic,GBM; Astro; DMG,"[GAIN: Reported in GBM. Associated with tumour progression in astrocytoma]; [SV: Fusions very rare in  GBM. Truncating deletion of exons 8 and 9 recurrently occur with PDGFRA amplification]; [DMG: Gain-of-function mutation and genetic amplification of growth factor receptors involved in brain development are common in H3 p.K28M (K27M)-mutant subtypes, and they are found in PDGFRA (hindbrain, diencephalon, telencephalon), FGFR1 (diencephalon), and ACVR1 (hindbrain).]",WHO blue books,Neuro
PIK3CA,SNV,Somatic,GBM; Astro; Oligo; DMG,"Mutually exclusive with PTEN loss; Associated with tumour progression in astrocytoma; [DMG: subclones with TP53, PPM1D, ATM mutations predominantly in H3.3 p.K28M (K27M)-mutant and EGFR-mutant cases, and PI3K or MAPK (PIK3CA, PIK3R1, PTEN), largely in the H3.1 or H3.2 p.K28M (K27M)-mutant subtype]",WHO blue books,Neuro
PIK3R1,SNV,Somatic,GBM; Astro; DMG,"Mutually exclusive with PTEN loss; Associated with tumour progression in astrocytoma; [DMG: subclones with TP53, PPM1D, ATM mutations predominantly in H3.3 p.K28M (K27M)-mutant and EGFR-mutant cases, and PI3K or MAPK (PIK3CA, PIK3R1, PTEN), largely in the H3.1 or H3.2 p.K28M (K27M)-mutant subtype]",WHO blue books,Neuro
PMS2,SNV; LOSS,Somatic; Germline,GBM; Astro; Oligo,Germline - CMMRD,WHO blue books,Neuro
POLE,SNV,Somatic,GBM,"Activating missense in exonuclease domain, p.260-471",WHO blue books,Neuro
POT1,SNV,Germline,Oligo,Familial oligodendroglioma,WHO blue books,Neuro
PPM1D,SNV,Somatic,DMG,"[DMG: collaborating subclonal mutations in TP53, PPM1D, ATM have subtype-specific enrichment]",WHO blue books,Neuro
PTEN,SNV; LOSS,Somatic,GBM; Astro; Oligo; DMG,"Mutually exclusive with PI3K mutations; Rare in astrocytoma; [DMG: subclones with TP53, PPM1D, ATM mutations predominantly in H3.3 p.K28M (K27M)-mutant and EGFR-mutant cases, and PI3K or MAPK (PIK3CA, PIK3R1, PTEN), largely in the H3.1 or H3.2 p.K28M (K27M)-mutant subtype]",WHO blue books,Neuro
PTPRZ1,SV,Somatic,GBM,"PTPRZ1::ETV1, potentially relevant fusion",WHO blue books,Neuro
RB1,SNV; LOSS,Somatic; Germline,GBM; Astro; Oligo,Mutually exclusive with CDKN2A loss; no impact on outcome in oligodendroglioma. Germline SNV rare in oligodendroglioma,WHO blue books,Neuro
ROS1,SV,Somatic,GBM,"CEP85L::ROS1, potentially relevant fusion",WHO blue books,Neuro
SETD2,SNV,Somatic,GBM; Oligo,,WHO blue books,Neuro
TACC1,SV,Somatic,GBM,"FGFR1 fusion partner, not considered typical in GBM",WHO blue books,Neuro
TACC3,SV,Somatic,GBM,FGFR3 fusion partner. FGFR3 ex17::TACC3 ex10,WHO blue books,Neuro
TCF12,SNV,Somatic,Oligo,Subclonal (tumour progression),WHO blue books,Neuro
TERT,SNV; SV,Somatic,GBM; Astro; Oligo,"[SNV: [5:1295113, c.-124]; [5:1295135, c.-146]; Promoter mutation, mutaually exclusive with ATRX deficiency, often seen with 1p/19q del in oligodendroglioma]; [SV: CCDC127::TERT, potentially relevant fusion in GBM]",WHO blue books,Neuro
TP53,SNV; LOSS,Somatic; Germline,GBM; Astro; DMG,"Germline - Li-Fraumeni.  [DMG: collaborating subclonal mutations in TP53, PPM1D, ATM have subtype-specific enrichment]",WHO blue books,Neuro
APC,SNV,Germline,WNT,,WHO Blue book,Medulloblastoma
ARID1A,SNV,Somatic,WNT,0.33,WHO Blue book,Medulloblastoma
ARID2,SNV,Somatic,WNT,0.33,WHO Blue book,Medulloblastoma
ATM,,Somatic,,,PMID: 31799776,Medulloblastoma
BAI3,,Somatic,,aka ADGRB3,PMID: 31799776,Medulloblastoma
BCOR,,Somatic,,,PMID: 31799776,Medulloblastoma
BRCA2,SNV,Germline; Somatic,Group 3/4,1-2%,WHO Blue book; PMID: 31799776,Medulloblastoma
CDK6,Amplification,Somatic,Group 3/4,0.04,WHO Blue book,Medulloblastoma
CHD7,,Somatic,,,PMID: 31799776,Medulloblastoma
CREBBP,SNV,Somatic; Germline,SHH; Group 3/4,10%; germline rare in group 3/4,WHO Blue book,Medulloblastoma
CSNK2B,SNV,Somatic,WNT,0.14,WHO Blue book,Medulloblastoma
CTDNEP1,SNV,Somatic,Group 3/4,0.05,WHO Blue book,Medulloblastoma
CTNNB1,SNV,Somatic,WNT,ex3 mostly,WHO Blue book,Medulloblastoma
DDX3X,SNV,Somatic,WNT; SHH,36%; 20%,WHO Blue book,Medulloblastoma
ELP1,SNV,Germline,SHH,,WHO Blue book,Medulloblastoma
EPHA7,,Somatic,,,PMID: 31799776,Medulloblastoma
FBXW7,,Somatic,,,PMID: 31799776,Medulloblastoma
GFI1,SV,Somatic,Group 3/4,"enhancer hijacker (15%), gene on 1p ",WHO Blue book,Medulloblastoma
GFI1B,SV,Somatic,Group 3/4,"enhancer hijacker (15%), gene on 9q",WHO Blue book,Medulloblastoma
GLI1,Amplification,Somatic,SHH,0.1,WHO Blue book,Medulloblastoma
GLI2,Amplification,Somatic,SHH,0.1,WHO Blue book,Medulloblastoma
GPR161,SNV,Germline,SHH,,WHO Blue book,Medulloblastoma
GSE1,,Somatic,,,PMID: 31799776,Medulloblastoma
H3F3A,SNV,Somatic,Group 3/4,,WHO Blue book,Medulloblastoma
IDH1,,Somatic,,,PMID: 31799776,Medulloblastoma
KBTBD4,,Somatic,,,PMID: 31799776,Medulloblastoma
KDM6A,SNV,Somatic,Group 3/4,0.07,WHO Blue book,Medulloblastoma
KMT2C,SNV,Somatic,Group 3/4,0.06,WHO Blue book,Medulloblastoma
KMT2D,SNV,Somatic,WNT; SHH; Group 3/4,14%; 10-15%; 5%,WHO Blue book,Medulloblastoma
MED12,,Somatic,,,PMID: 31799776,Medulloblastoma
MYC,Amplification,Somatic,Group 3/4,0.17,WHO Blue book,Medulloblastoma
MYCL,Amplification,Somatic,SHH,<10%,WHO Blue book,Medulloblastoma
MYCN,Amplification,Somatic,SHH; Group 3/4,<10%; 5%,WHO Blue book,Medulloblastoma
OTX2,Amplification,Somatic,Group 3/4,0.03,WHO Blue book,Medulloblastoma
PALB2,SNV,Germline,Group 3/4,1-2%,WHO Blue book,Medulloblastoma
PIK3CA,SNV,Somatic,WNT,0.11,WHO Blue book,Medulloblastoma
PRDM6,,Somatic,,,PMID: 31799776,Medulloblastoma
PRKAR1A,,Somatic,,,PMID: 31799776,Medulloblastoma
PTCH1,SNV,Somatic; Germline,SHH,0.4,WHO Blue book,Medulloblastoma
PTCH2,SNV,Germline,SHH,,WHO Blue book,Medulloblastoma
PTEN,,Somatic,,,PMID: 31799776,Medulloblastoma
PVT1,SV,Somatic,Group 3/4,"17% PVT1::MYC fusion, gene on 8q",WHO Blue book,Medulloblastoma
MYC,SV,Somatic,Group 3/4,"17% PVT1::MYC fusion, gene on 8q",WHO Blue book,Medulloblastoma
SMARCA4,SNV,Somatic,WNT; Group 3/4,33%; 9%,WHO Blue book,Medulloblastoma
SMO,SNV,Somatic,SHH,"10%, aka SMOX",WHO Blue book,Medulloblastoma
SNCAIP,SV,Somatic,Group 4,"enhancer hijacker, gene on 5q",WHO Blue book,Medulloblastoma
SUFU,SNV,Somatic; Germline,SHH,0.1,WHO Blue book,Medulloblastoma
TBR1,SNV,Somatic,Group 3/4,0.03,WHO Blue book,Medulloblastoma
TCF4,,Somatic,,aka TCF7L2,PMID: 31799776,Medulloblastoma
TERT,SNV,Somatic,SHH,15-20%,WHO Blue book,Medulloblastoma
TP53,SNV,Somatic; Germline,WNT; SHH,15%; 14%; >50% SHH-MB TP53-mut,WHO Blue book; PMID: 31799776,Medulloblastoma
YAP1,Amplification,Somatic,SHH,<10%,WHO Blue book,Medulloblastoma
ZIC1,SNV,Somatic,Group 3/4,0.04,WHO Blue book,Medulloblastoma
ZMYM3,SNV,Somatic,Group 3/4,0.06,WHO Blue book,Medulloblastoma
ABL1,FUSION,,Angiofibroma of soft tissue; ; ; ; ; ; ; ; ; ; ; ,,Soft master_JAW,Sarcoma
ACP5,SNV,,Enchondroma (germline); ; ; ; ,,Bone master_JAW,Sarcoma
ACTB,FUSION,,Pseudomyogenic haemangioendothelioma; ; ; ; ; ; ; ; ; ; ; ,,Soft master_JAW,Sarcoma
ACVR2A,FUSION,,Synovial chondromatosis; ; ; ; ,,Bone master_JAW,Sarcoma
ADGFR2,FUSION,,Acral fibromyxochondroid tumour; ; ; ; ; ; ; ; ; ; ; ,,Soft master_JAW,Sarcoma
AHR ,SNV,,Leiomyoma (uterine); ; ; ; ; ; ; ; ; ; ; ,,Soft master_JAW,Sarcoma
AHRR,FUSION,,Angiofibroma of soft tissue; ; ; ; ; ; ; ; ; ; ; ,,Soft master_JAW,Sarcoma
AIP,DELETION; FUSION,,Hibernoma; ; ; ; ; ; ; ; ; ; ; ,,Soft master_JAW,Sarcoma
ALK,FUSION; AMPLIFICATION,,Lipofibromatosis; IMT; Leiomyosarcoma; ALK rearranged superficial myxoid tumour; epithelioid fibrous histiocytoma; Osteosarcoma,,Soft master_JAW; Bone master_JAW,Sarcoma
AMACR,AMPLIFICATION,,Myxofibrosarcoma; ; ; ; ; ; ; ; ; ; ; ,,Soft master_JAW,Sarcoma
AMER1,SNV,,Extraskeletal osteosarcoma; ; ; ; ; ; ; ; ; ; ; ,,Soft master_JAW,Sarcoma
ANTXR2,SNV,,Juvenile hyaline fibromatosis; ; ; ; ; ; ; ; ; ; ; ,,Soft master_JAW,Sarcoma
APC,SNV,Somatic; Germline,Gardner fibroma; Desmoid fibromatosis (germline); ; ; ; ; ; ; ; ; ; ; ,,Soft master_JAW,Sarcoma
ARAF,SNV,,Rosai-Dorfman disease; ; ; ; ,,Bone master_JAW,Sarcoma
ARID1A,SNV,,Schwannoma; ; ; ; ; ; ; ; ; ; ; ,,Soft master_JAW,Sarcoma
ARID1B,SNV; FUSION,,Schwannoma; Osteosarcoma;  ,,Soft master_JAW; Bone master_JAW,Sarcoma
ASPSCR1,FUSION,,Alveolar soft part sarcoma; ; ; ; ; ; ; ; ; ; ; ,,Soft master_JAW,Sarcoma
ATF1,FUSION,,Angiomatoid fibrous histiocytoma; Clear cell sarcoma; ; ; ; ; ; ; ; ; ; ,,Soft master_JAW,Sarcoma
ATP6AP1,SNV,,Granular cell tumour; ; ; ; ; ; ; ; ; ; ; ,,Soft master_JAW,Sarcoma
ATP6AP2,SNV,,Granular cell tumour; ; ; ; ; ; ; ; ; ; ; ,,Soft master_JAW,Sarcoma
ATRX,SNV; DELETION; FUSION,,[SNV: Leiomyosarcoma; Extraskeletal osteosarcoma]; [SV: Leiomyosarcoma (uterine) - deletion and fusion]; Osteosarcoma; ; ; ; ,,Soft master_JAW; Bone master_JAW,Sarcoma
AXIN2,SNV,,Extraskeletal osteosarcoma; ; ; ; ; ; ; ; ; ; ; ,,Soft master_JAW,Sarcoma
B2M,DELETION,,Leiomyosarcoma (uterine); ; ; ; ; ; ; ; ; ; ; ,,Soft master_JAW,Sarcoma
BCOR,FUSION; SNV; DELETION,,[FUSION: BCOR rearranged sarcoma; High grade ESS with BCOR abnormalities]; [SNV: Embryonal rhabdomyosarcoma; Ossifying fibromyxoid tumour; Fibroadenoma; Phyllodes tumour]; [DELETION: Embryonal rhabdomyosarcoma],,Soft master_JAW; Bone master_JAW,Sarcoma
BCORL1,FUSION,,Ossifying fibromyxoid tumour; ; ; ; ; ; ; ; ; ; ; ,,Soft master_JAW,Sarcoma
BLM,SNV,,Osteosarcoma (germline); ; ; ; ,,Bone master_JAW,Sarcoma
BRAF,FUSION; SNV,,[FUSION: Lipofibromatosis; Myxoinflammatory fibroblastic sarcoma; Infantile fibrosarcoma; Glomus tumour;BRAF altered infantile fibrosarcoma like tumours]; [SNV: Gastrointestinal stromal tumour; Clear cell sarcoma; Leiomyosarcoma (uterine);BRAF altered infantile fibrosarcoma like tumours; Langerhans cell histiocytosis; Erdheim Chester; Rosai-Dorfman disease],,Soft master_JAW; Bone master_JAW,Sarcoma
BRCA1,SNV,,Extraskeletal osteosarcoma; ; ; ; ; ; ; ; ; ; ; ,,Soft master_JAW,Sarcoma
BRCA2,DELETION,,Leiomyosarcoma (uterine); ; ; ; ; ; ; ; ; ; ; ,,Soft master_JAW,Sarcoma
c11orf95,FUSION,,Chondroid lipoma; ; ; ; ; ; ; ; ; ; ; ,,Soft master_JAW,Sarcoma
C19MC,AMPLIFICATION,,ETMR; ?synovial sarcoma; ,chr19 miRNA cluster,Soft master_JAW,Sarcoma
CAMTA1,FUSION,,Epithelioid haemangioendothelioma; ; ; ; ; ; ; ; ; ; ; ,,Soft master_JAW; Bone master_JAW,Sarcoma
CAPRIN1,SNV,,Leiomyoma (uterine); ; ; ; ; ; ; ; ; ; ; ,,Soft master_JAW,Sarcoma
CBL,SNV,,Tenosynovial giant cell tumour; ; ; ; ; ; ; ; ; ; ; ,,Soft master_JAW,Sarcoma
CCNB3,FUSION,,BCOR rearranged sarcoma; ; ; ; ; ; ; ; ; ; ; ,,Soft master_JAW; Bone master_JAW,Sarcoma
CCND1,AMPLIFICATION,,Myxofibrosarcoma; ; ; ; ; ; ; ; ; ; ; ,,Soft master_JAW,Sarcoma
CCND2,AMPLIFICATION,,Osteosarcoma; ; ; ; ,,Bone master_JAW,Sarcoma
CCND3,AMPLIFICATION,,Osteosarcoma; ; ; ; ,,Bone master_JAW,Sarcoma
CCNE1,AMPLIFICATION,,Myxofibrosarcoma; Undifferentiated sarcoma; Osteosarcoma;,,Soft master_JAW; Bone master_JAW,Sarcoma
CD63,FUSION,,Benign fibrous histiocytoma; ; ; ; ; ; ; ; ; ; ; ,,Soft master_JAW,Sarcoma
CDC5L,AMPLIFICATION,,Extraskeletal osteosarcoma; ; ; ; ; ; ; ; ; ; ; ,,Soft master_JAW,Sarcoma
CDK4,AMPLIFICATION,,Alveolar rhabdomyosarcoma; Extraskeletal osteosarcoma; Leiomyosarcoma (uterine); Central chondrosarcoma G2/3; Low grade central osteosarcoma; Parosteal osteosarcoma; ; ,,Soft master_JAW; Bone master_JAW,Sarcoma
CDK6,AMPLIFICATION,,Myxofibrosarcoma; ; ; ; ; ; ; ; ; ; ; ,,Soft master_JAW,Sarcoma
CDKN1C,LOSS,,Embryonal rhabdomyosarcoma; ; ; ; ; ; ; ; ; ; ; ,,Soft master_JAW,Sarcoma
CDKN2A,SNV; DELETION,,[SNV: Alveolar rhabdomyosarcoma; MPNST; Ewing's sarcoma]; [DELETION: Myxofibrosarcoma; Extraskeletal osteosarcoma; MPNST; Undifferentiated sarcoma; Leiomyosarcoma (uterine)]; Central chondrosarcoma G2/3; Clear cell chondrosarcoma; Osteosarcoma; Fibrosarcoma of bone; ,,Soft master_JAW; Bone master_JAW,Sarcoma
CDKN2B,SNV; DELETION,,[SNV: Alveolar rhabdomyosarcoma; MPNST]; [DELETION: Myxofibrosarcoma; MPNST; ; Undifferentiated sarcoma],,Soft master_JAW,Sarcoma
CDX1,FUSION,,Mesenchymal chondrosarcoma; ; ; ; ,,Bone master_JAW,Sarcoma
CHEK2,SNV,,Extraskeletal osteosarcoma; ; ; ; ; ; ; ; ; ; ; ,,Soft master_JAW,Sarcoma
CHMP2B,AMPLIFICATION,,Haemosiderotic fibrolipomatous tumour; ; ; ; ; ; ; ; ; ; ; ,,Soft master_JAW,Sarcoma
CIC,FUSION,,Angiosarcoma; CIC-rearranged sarcoma; ; ; ; ; ; ; ; ; ; ,,Soft master_JAW,Sarcoma
CITED2,FUSION,,Spindle cell rhabdomyosarcoma; ; ; ; ; ; ; ; ; ; ; ,,Soft master_JAW,Sarcoma
CLTC,FUSION,,UPS of bone; ; ; ; ,,Bone master_JAW,Sarcoma
CMYC,AMPLIFICATION,,Osteosarcoma; ; ; ; ,,Bone master_JAW,Sarcoma
CNC1,SNV,,Osteochondromyxoma; ; ; ; ,,Bone master_JAW,Sarcoma
CNC2,SNV,,Osteochondromyxoma; ; ; ; ,,Bone master_JAW,Sarcoma
COL12A1,FUSION,,Subungual exostosis; ; ; ; ,,Bone master_JAW,Sarcoma
COL1A1,FUSION,,DFSP; Giant cell fibroblastoma; ; ; ; ; ; ; ; ; ; ,,Soft master_JAW,Sarcoma
COL2A1,SNV,,Central chondrosarcoma G2/3; ; ; ; ,,Bone master_JAW,Sarcoma
COL4A5,DELETION,,Leiomyoma (uterine); ; ; ; ; ; ; ; ; ; ; ,,Soft master_JAW,Sarcoma
COL4A6,DELETION,,Leiomyoma (uterine); ; ; ; ; ; ; ; ; ; ; ,,Soft master_JAW,Sarcoma
COPS3,AMPLIFICATION,,Extraskeletal osteosarcoma; Osteosarcoma; ,,Soft master_JAW; Bone master_JAW,Sarcoma
CREB1,FUSION,,Angiomatoid fibrous histiocytoma; Clear cell sarcoma; ; ; ; ; ; ; ; ; ; ,,Soft master_JAW,Sarcoma
CREB3L1,FUSION,,Low grade fibromyxoid sarcoma; Sclerosing epithelioid fibrosarcoma; ; ; ; ; ; ; ; ; ; ,,Soft master_JAW,Sarcoma
CREB3L2,FUSION,,Low grade fibromyxoid sarcoma; Sclerosing epithelioid fibrosarcoma; Ewing's sarcoma; ; ; ; ; ; ; ; ; ,,Soft master_JAW,Sarcoma
CREB3L3,FUSION,,Sclerosing epithelioid fibrosarcoma; ; ; ; ; ; ; ; ; ; ; ,,Soft master_JAW,Sarcoma
CREBBP,FUSION,,Ossifying fibromyxoid tumour; ; ; ; ; ; ; ; ; ; ; ,,Soft master_JAW,Sarcoma
CREM,FUSION,,Sclerosing epithelioid fibrosarcoma; Angiomatoid fibrous histiocytoma,,Soft master_JAW,Sarcoma
CRTC1,FUSION,,Clear cell sarcoma; CRTC1::TRIM11 rearranged tumour  ; ; ; ; ; ; ; ; ; ; ,,Soft master_JAW,Sarcoma
CSF1,FUSION,,Tenosynovial giant cell tumour; ; ; ; ; ; ; ; ; ; ; ,,Soft master_JAW,Sarcoma
CTNNB1,SNV,,Desmoid fibromatosis; Intranodal palisaded myofibroblastoma; Nasopharyngeal angiofibroma; Embryonal rhabdomyosarcoma; Neuromuscular choristoma; Pseudoendocrine sarcoma; Desmoplastic fibroma of bone,,Soft master_JAW; Bone master_JAW,Sarcoma
CUX1,DELETION,,Leiomyoma (uterine); ; ; ; ; ; ; ; ; ; ; ,,Soft master_JAW,Sarcoma
CYP2E1,FUSION,,Angiomyofibroblastoma; Superficial myofibroblastoma; ; ; ; ; ; ; ; ; ; ,,Soft master_JAW,Sarcoma
DAXX,SNV,,Extraskeletal osteosarcoma; ; ; ; ; ; ; ; ; ; ; ,,Soft master_JAW,Sarcoma
DCN,SNV,,Leiomyoma (uterine); ; ; ; ; ; ; ; ; ; ; ,,Soft master_JAW,Sarcoma
DDIT3,FUSION,,Myxoid liposarcoma; ; ; ; ; ; ; ; ; ; ; ,,Soft master_JAW,Sarcoma
DDR1,SNV,,Schwannoma; ; ; ; ; ; ; ; ; ; ; ,,Soft master_JAW,Sarcoma
DEPDC5,DELETION,,Leiomyoma (uterine); ; ; ; ; ; ; ; ; ; ; ,,Soft master_JAW,Sarcoma
DICER1,SNV,,Embryonal rhabdomyosarcoma (germline); DICER1 related sarcoma ; ; ; ; ; ; ; ; ; ; ,,Soft master_JAW,Sarcoma
DLG2,DELETION,,Osteosarcoma; ; ; ; ,,Bone master_JAW,Sarcoma
DMD,DELETION,,Sclerosing epithelioid fibrosarcoma; ; ; ; ; ; ; ; ; ; ; ,,Soft master_JAW,Sarcoma
DNM2,FUSION,,Osteosarcoma; ; ; ; ,,Bone master_JAW,Sarcoma
DST,SNV,,Leiomyosarcoma; ; ; ; ; ; ; ; ; ; ; ,,Soft master_JAW,Sarcoma
DUX4,FUSION,,CIC-rearranged sarcoma; ; ; ; ,,Soft master_JAW; Bone master_JAW,Sarcoma
EED,SNV,,Malignant peripheral nerve sheath tumour; ; ; ; ; ; ; ; ; ; ; ,,Soft master_JAW,Sarcoma
EGF ,FUSION,,Calcifying aponeurotic fibroma; ; ; ; ; ; ; ; ; ; ; ,,Soft master_JAW,Sarcoma
EGFR,SNV; FUSION; AMPLIFICATION,,[SNV: FIbrous hamartoma of infancy]; [FUSION: Lipofibromatosis]; [AMPLIFICATION: Extraskeletal osteosarcoma]; Central chondrosarcoma G2/3,[SNV: FIbrous hamartoma of infancy]; [FUSION: Lipofibromatosis]; [AMPLIFICATION: Extraskeletal osteosarcoma],Soft master_JAW; Bone master_JAW,Sarcoma
EGR1,FUSION,,Lipofibromatosis; ; ; ; ; ; ; ; ; ; ; ,,Soft master_JAW,Sarcoma
EPC1,FUSION,,Composite haemangioendothelioma; ; ; ; ; ; ; ; ; ; ; ,,Soft master_JAW,Sarcoma
EPHA3,AMPLIFICATION,,Myxofibrosarcoma; ; ; ; ; ; ; ; ; ; ; ,,Soft master_JAW,Sarcoma
EPHB1,AMPLIFICATION,,Myxofibrosarcoma; ; ; ; ; ; ; ; ; ; ; ,,Soft master_JAW,Sarcoma
ERBB4,DELETION,,Osteosarcoma; ; ; ; ,,Bone master_JAW,Sarcoma
